1,2,Acacia,369632.589,5033971.276,TRUE,81,
2,10,Acacia,369605.731,5033988.808,TRUE,287,
3,12,Acacia,369588.603,5034005.583,TRUE,,287
4,14,Acacia,369575.065,5034012.611,FALSE,,
5,34,Acacia,369580.948,5034041.599,FALSE,,
6,34,Acacia,369580.948,5034041.599,FALSE,,
7,34,Acacia,369580.948,5034041.599,FALSE,,
8,36,Acacia,369582.244,5034052.578,FALSE,,
9,38,Acacia,369583.541,5034063.557,FALSE,,
10,40,Acacia,369584.837,5034074.536,FALSE,,
11,42,Acacia,369586.134,5034085.517,FALSE,,
12,66,Acacia,369578.727,5034124.908,TRUE,204,245
13,74,Acacia,369574.413,5034159.331,TRUE,,245
14,74,Acacia,369574.413,5034159.331,TRUE,,245
15,74,Acacia,369574.413,5034159.331,TRUE,,245
16,74,Acacia,369574.413,5034159.331,TRUE,,245
17,100,Acacia,369562.053,5034197.094,TRUE,,614
18,104,Acacia,369559.140,5034221.604,TRUE,,614
19,108,Acacia,369544.006,5034265.041,TRUE,615,
20,112,Acacia,369535.021,5034297.447,TRUE,,806
21,120,Acacia,369535.213,5034346.120,TRUE,,808
22,128,Acacia,369532.692,5034368.791,FALSE,,
23,136,Acacia,369541.764,5034389.911,FALSE,,
24,138,Acacia,369540.488,5034415.124,TRUE,,521
25,142,Acacia,369541.092,5034452.229,FALSE,,
26,143,Acacia,369498.198,5034445.287,TRUE,520,
27,150,Acacia,369539.458,5034466.626,FALSE,,
28,154,Acacia,369536.747,5034482.196,FALSE,,
29,155,Acacia,369482.392,5034468.992,TRUE,,520
30,157,Acacia,369475.772,5034489.528,TRUE,,79
31,158,Acacia,369531.755,5034497.683,FALSE,,
32,164,Acacia,369526.318,5034512.654,FALSE,,
33,170,Acacia,369520.879,5034527.631,FALSE,,
34,176,Acacia,369515.491,5034542.705,FALSE,,
35,180,Acacia,369497.672,5034562.919,TRUE,,698
36,181,Acacia,369445.501,5034544.602,TRUE,80,
37,185,Acacia,369426.525,5034559.503,TRUE,,78
38,186,Acacia,369472.159,5034608.890,TRUE,697,
